2026-01-09 15:14:01 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:__init__:17 - EasySpacePlugin initialized with 118 agents.
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Jane has moved to new_position (50, 60).
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Teresa has moved to new_position (150, 150).
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Holly has moved to new_position (150, 250).
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Edward has moved to new_position (150, 150).
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Irene has moved to new_position (150, 150).
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Gwen has moved to new_position (47, 137).
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Henry has moved to new_position (150, 150).
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Veronica has moved to new_position (150, 150).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Aaron has moved to new_position (150, 150).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Kyle has moved to new_position (150, 150).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Tiffany has moved to new_position (150, 150).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Erin has moved to new_position (150, 150).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Michael has moved to new_position (150, 70).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Rachel has moved to new_position (100, 100).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Amy has moved to new_position (100, 150).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Helen has moved to new_position (150, 150).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Kim has moved to new_position (150, 150).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Cara has moved to new_position (150, 150).
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Willow has moved to new_position (150, 150).
2026-01-09 15:14:04 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Pamela has moved to new_position (150, 150).
2026-01-09 15:14:04 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Caleb has moved to new_position (100, 100).
2026-01-09 15:14:04 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Danny has moved to new_position (150, 150).
2026-01-09 15:14:04 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Adam has moved to new_position (150, 150).
2026-01-09 15:14:04 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Larry has moved to new_position (100, 200).
2026-01-09 15:14:04 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Ulysses has moved to new_position (150, 176).
2026-01-09 15:14:04 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Zane has moved to new_position (150, 150).
2026-01-09 15:14:05 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Timmy has moved to new_position (150, 150).
2026-01-09 15:14:05 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Ivan has moved to new_position (150, 150).
2026-01-09 15:14:05 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Daphne has moved to new_position (50, 60).
2026-01-09 15:14:05 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Andrew has moved to new_position (50, 60).
2026-01-09 15:14:05 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Pauline has moved to new_position (50, 109).
2026-01-09 15:14:05 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Ben has moved to new_position (150, 150).
2026-01-09 15:14:05 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Evan has moved to new_position (150, 150).
2026-01-09 15:14:05 | INFO     | PID:48456 | examples.standalone_test.plugins.environment.space.EasySpacePlugin:update_agent_position:52 - Agent Kelly has moved to new_position (50, 60).
