formal_block_id,P1_OVERALL_CLARIFICATION_POST_TRUST_V32,P2_CONTENT_POST_TRUST_V32,P3_TIMING_PRE_DELAY_TRUST_V32,P4_CHANNEL_REACH_V32,P5_OVERALL_CLARIFICATION_EXPECTED_REPEAT_CHOICE_V32
F001,0.27074049504541,-0.07463466670788677,0.36773980877086654,0.6,0.014399972674076778
F002,0.4635282268174654,0.08077735234812966,0.7620313201161224,0.29999999999999993,0.027876117543741752
F003,0.3487191370405851,0.02811208733964765,0.5618149214786712,0.45000000000000007,0.019857957918229474
F004,0.2936931873115993,0.05562511767557066,0.4815798860425575,0.7,0.015404593649984144
F005,0.4338839024040304,0.07674559741138509,0.6589965500964707,-0.050000000000000044,0.025648889945658504
F006,0.4088777327283388,0.1442656477551827,0.6376091553056638,0.25,0.0203947128847895
F007,0.3236881295425924,0.10039183027725151,0.5268033710297191,0.29999999999999993,0.015940360124872877
F008,0.2866148622458322,0.026505127554292685,0.3771095171030092,0.5,0.015236370219236572
F009,0.3482741380487946,0.14920742184699698,0.6914348511005617,0.3999999999999999,0.02117709591756456
F010,0.36167502068272217,0.08544107861097228,0.6285101646816571,0.19999999999999996,0.02359590174645715
