2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:chat:140 - Attempting chat request with provider: qwen-max
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:chat:140 - Attempting chat request with provider: qwen-max
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:chat:140 - Attempting chat request with provider: qwen-max
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:chat:140 - Attempting chat request with provider: qwen-max
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:chat:140 - Attempting chat request with provider: qwen-max
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:chat:140 - Attempting chat request with provider: qwen-max
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:chat:140 - Attempting chat request with provider: qwen-max
2026-01-09 15:14:01 | DEBUG    | PID:48456 | agentkernel_standalone.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
