2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:__init__:129 - Initializing Simulation Engine (Builder)...
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:40 - Loading configuration from project path: E:\BaiduSyncdisk\Project\Thesis\03 GABM 模型\Kernel\examples\standalone_test
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:60 - Loading 'environment' config from: E:\BaiduSyncdisk\Project\Thesis\03 GABM 模型\Kernel\examples\standalone_test\configs\environment_config.yaml
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:60 - Loading 'actions' config from: E:\BaiduSyncdisk\Project\Thesis\03 GABM 模型\Kernel\examples\standalone_test\configs\actions_config.yaml
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:60 - Loading 'agent_templates' config from: E:\BaiduSyncdisk\Project\Thesis\03 GABM 模型\Kernel\examples\standalone_test\configs\agents_config.yaml
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:60 - Loading 'system' config from: E:\BaiduSyncdisk\Project\Thesis\03 GABM 模型\Kernel\examples\standalone_test\configs\system_config.yaml
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:60 - Loading 'database' config from: E:\BaiduSyncdisk\Project\Thesis\03 GABM 模型\Kernel\examples\standalone_test\configs\db_config.yaml
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:60 - Loading 'models' config from: E:\BaiduSyncdisk\Project\Thesis\03 GABM 模型\Kernel\examples\standalone_test\configs\models_config.yaml
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:71 - Loading data source 'agent_profiles' from: E:\BaiduSyncdisk\Project\Thesis\03 GABM 模型\Kernel\examples\standalone_test\data/agents/profiles.jsonl
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:71 - Loading data source 'agents_relation' from: E:\BaiduSyncdisk\Project\Thesis\03 GABM 模型\Kernel\examples\standalone_test\data/relation/relation.jsonl
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:71 - Loading data source 'map_agents' from: E:\BaiduSyncdisk\Project\Thesis\03 GABM 模型\Kernel\examples\standalone_test\data/map/agents.jsonl
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:load_config:105 - Configuration loaded and validated successfully.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:__init__:149 - Using custom controller 'CustomController' from resource_maps.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.builder:init:180 - Initializing in standalone mode.
