2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-01-09 15:14:01 | ERROR    | PID:48456 | agentkernel_standalone.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class EasyCommunicationPlugin without an implementation for abstract method '_log_action'
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.action.action:post_init:61 - Action Proxy: Post initializing all managed components...
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.action.base.component_base:post_init:74 - All plugins in component 'communication' have been initialized.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.action.action:post_init:70 - Action Proxy: All components initialized.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.action.action:save_to_db:158 - Action Proxy: Saving state for all managed components...
2026-01-09 15:14:01 | WARNING  | PID:48456 | agentkernel_standalone.mas.action.action:save_to_db:174 - Action Proxy: A component failed to save state: Method 'save_to_db' not found in component 'communication'.
2026-01-09 15:14:01 | WARNING  | PID:48456 | agentkernel_standalone.mas.action.action:save_to_db:180 - Action Proxy: Some components failed to save state.
2026-01-09 15:18:03 | INFO     | PID:4168 | agentkernel_standalone.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-01-09 15:18:03 | ERROR    | PID:4168 | agentkernel_standalone.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class EasyCommunicationPlugin without an implementation for abstract method '_log_action'
2026-01-09 15:18:03 | INFO     | PID:4168 | agentkernel_standalone.mas.action.action:post_init:61 - Action Proxy: Post initializing all managed components...
2026-01-09 15:18:03 | INFO     | PID:4168 | agentkernel_standalone.mas.action.base.component_base:post_init:74 - All plugins in component 'communication' have been initialized.
2026-01-09 15:18:03 | INFO     | PID:4168 | agentkernel_standalone.mas.action.action:post_init:70 - Action Proxy: All components initialized.
2026-01-09 15:18:03 | INFO     | PID:4168 | agentkernel_standalone.mas.action.action:save_to_db:158 - Action Proxy: Saving state for all managed components...
2026-01-09 15:18:03 | WARNING  | PID:4168 | agentkernel_standalone.mas.action.action:save_to_db:174 - Action Proxy: A component failed to save state: Method 'save_to_db' not found in component 'communication'.
2026-01-09 15:18:03 | WARNING  | PID:4168 | agentkernel_standalone.mas.action.action:save_to_db:180 - Action Proxy: Some components failed to save state.
2026-01-09 16:32:49 | INFO     | PID:41032 | agentkernel_standalone.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
