Tick,AgentID,Type,TrustScore,Action,Thought_Hypocrisy
1,Consumer_000,Deep Green,6.5,none,False
1,Consumer_001,Light Green,6.0,none,False
1,Consumer_002,Light Green,5.8,none,False
1,Consumer_003,Light Green,5.8,none,False
1,Consumer_004,Light Green,5.8,none,False
2,Consumer_000,Deep Green,6.5,none,False
2,Consumer_001,Light Green,6.0,none,False
2,Consumer_002,Light Green,5.8,none,False
2,Consumer_003,Light Green,5.8,none,False
2,Consumer_004,Light Green,5.8,none,False
3,Consumer_000,Deep Green,6.5,none,False
3,Consumer_001,Light Green,6.0,none,False
3,Consumer_002,Light Green,5.8,none,False
3,Consumer_003,Light Green,5.8,none,False
3,Consumer_004,Light Green,5.8,none,False
4,Consumer_000,Deep Green,5.5,none,True
4,Consumer_001,Light Green,6.5,none,False
4,Consumer_002,Light Green,5.3,none,True
4,Consumer_003,Light Green,5.5,none,True
4,Consumer_004,Light Green,5.5,none,True
