Tick,AgentID,Type,TrustScore,Action,Thought_Hypocrisy
1,Consumer_000,Deep Green,4.7,none,False
1,Consumer_001,Light Green,4.2,none,False
1,Consumer_002,Light Green,5.3,none,False
1,Consumer_003,Light Green,4.6,none,False
1,Consumer_004,Light Green,4.8,none,False
1,Consumer_005,Light Green,5.5,none,False
1,Consumer_006,Light Green,5.1,none,False
1,Consumer_007,Light Green,4.2,none,False
1,Consumer_008,Light Green,5.3,none,False
1,Consumer_009,Light Green,5.2,none,False
2,Consumer_000,Deep Green,4.1000000000000005,none,True
2,Consumer_001,Light Green,4.5,none,False
2,Consumer_002,Light Green,5.75,none,False
2,Consumer_003,Light Green,4.949999999999999,none,False
2,Consumer_004,Light Green,5.1499999999999995,none,False
2,Consumer_005,Light Green,5.8,none,False
2,Consumer_006,Light Green,5.449999999999999,none,False
2,Consumer_007,Light Green,4.55,none,False
2,Consumer_008,Light Green,5.45,none,False
2,Consumer_009,Light Green,5.5,none,False
3,Consumer_000,Deep Green,4.1000000000000005,none,True
3,Consumer_001,Light Green,4.5,none,False
3,Consumer_002,Light Green,5.75,none,False
3,Consumer_003,Light Green,4.949999999999999,none,False
3,Consumer_004,Light Green,5.1499999999999995,none,False
3,Consumer_005,Light Green,5.8,none,False
3,Consumer_006,Light Green,5.449999999999999,none,False
3,Consumer_007,Light Green,4.55,none,False
3,Consumer_008,Light Green,5.45,none,False
3,Consumer_009,Light Green,5.5,none,False
4,Consumer_000,Deep Green,4.1000000000000005,none,True
4,Consumer_001,Light Green,4.5,none,False
4,Consumer_002,Light Green,5.75,none,False
4,Consumer_003,Light Green,4.949999999999999,none,False
4,Consumer_004,Light Green,5.1499999999999995,none,False
4,Consumer_005,Light Green,5.8,none,False
4,Consumer_006,Light Green,5.449999999999999,none,False
4,Consumer_007,Light Green,4.55,none,False
4,Consumer_008,Light Green,5.45,none,False
4,Consumer_009,Light Green,5.5,none,False
5,Consumer_000,Deep Green,4.1000000000000005,none,True
5,Consumer_001,Light Green,4.5,none,False
5,Consumer_002,Light Green,5.75,none,False
5,Consumer_003,Light Green,4.949999999999999,none,False
5,Consumer_004,Light Green,5.1499999999999995,none,False
5,Consumer_005,Light Green,5.8,none,False
5,Consumer_006,Light Green,5.449999999999999,none,False
5,Consumer_007,Light Green,4.55,none,False
5,Consumer_008,Light Green,5.45,none,False
5,Consumer_009,Light Green,5.5,none,False
6,Consumer_000,Deep Green,3.7500000000000004,post_review,True
6,Consumer_001,Light Green,4.8,ignore,False
6,Consumer_002,Light Green,5.9,ignore,False
6,Consumer_003,Light Green,5.299999999999999,ignore,False
6,Consumer_004,Light Green,5.499999999999999,ignore,False
6,Consumer_005,Light Green,6.1,buy,False
6,Consumer_006,Light Green,5.569999999999999,ignore,False
6,Consumer_007,Light Green,4.67,ignore,False
6,Consumer_008,Light Green,5.57,ignore,True
6,Consumer_009,Light Green,5.85,ignore,False
7,Consumer_000,Deep Green,3.7500000000000004,post_review,True
7,Consumer_001,Light Green,4.1499999999999995,ignore,False
7,Consumer_002,Light Green,5.550000000000001,ignore,False
7,Consumer_003,Light Green,4.649999999999999,ignore,False
7,Consumer_004,Light Green,4.849999999999999,ignore,False
7,Consumer_005,Light Green,5.699999999999999,ignore,True
7,Consumer_006,Light Green,5.22,ignore,False
7,Consumer_007,Light Green,4.25,ignore,True
7,Consumer_008,Light Green,5.57,ignore,True
7,Consumer_009,Light Green,5.85,ignore,False
8,Consumer_000,Deep Green,3.7500000000000004,post_review,True
8,Consumer_001,Light Green,3.7999999999999994,ignore,False
8,Consumer_002,Light Green,5.4,ignore,False
8,Consumer_003,Light Green,4.229999999999999,ignore,False
8,Consumer_004,Light Green,4.729999999999999,ignore,False
8,Consumer_005,Light Green,5.35,ignore,True
8,Consumer_006,Light Green,5.04,ignore,False
8,Consumer_007,Light Green,3.9,post_review,True
8,Consumer_008,Light Green,5.57,ignore,True
8,Consumer_009,Light Green,5.85,ignore,False
9,Consumer_000,Deep Green,3.6000000000000005,post_review,True
9,Consumer_001,Light Green,3.4499999999999993,ignore,True
9,Consumer_002,Light Green,5.25,ignore,False
9,Consumer_003,Light Green,3.8799999999999986,ignore,True
9,Consumer_004,Light Green,4.6099999999999985,ignore,False
9,Consumer_005,Light Green,5.1,ignore,True
9,Consumer_006,Light Green,4.92,ignore,False
9,Consumer_007,Light Green,3.55,post_review,True
9,Consumer_008,Light Green,5.25,ignore,True
9,Consumer_009,Light Green,5.85,ignore,False
10,Consumer_000,Deep Green,3.4500000000000006,post_review,True
10,Consumer_001,Light Green,3.329999999999999,post_review,True
10,Consumer_002,Light Green,5.4,ignore,False
10,Consumer_003,Light Green,3.4599999999999986,post_review,True
10,Consumer_004,Light Green,4.489999999999998,ignore,False
10,Consumer_005,Light Green,4.75,ignore,True
10,Consumer_006,Light Green,4.77,ignore,False
10,Consumer_007,Light Green,3.4,ignore,True
10,Consumer_008,Light Green,4.9,ignore,True
10,Consumer_009,Light Green,5.43,ignore,True
11,Consumer_000,Deep Green,3.2700000000000005,post_review,True
11,Consumer_001,Light Green,2.9099999999999993,post_review,True
11,Consumer_002,Light Green,5.25,ignore,False
11,Consumer_003,Light Green,3.0399999999999987,post_review,True
11,Consumer_004,Light Green,4.139999999999999,post_review,True
11,Consumer_005,Light Green,4.1,ignore,True
11,Consumer_006,Light Green,4.6499999999999995,ignore,True
11,Consumer_007,Light Green,3.1,ignore,True
11,Consumer_008,Light Green,4.550000000000001,post_review,True
11,Consumer_009,Light Green,4.81,post_review,True
12,Consumer_000,Deep Green,4.12,post_review,True
12,Consumer_001,Light Green,2.559999999999999,post_review,True
12,Consumer_002,Light Green,5.1,ignore,False
12,Consumer_003,Light Green,2.6199999999999988,post_review,True
12,Consumer_004,Light Green,3.7899999999999987,ignore,True
12,Consumer_005,Light Green,3.8,ignore,True
12,Consumer_006,Light Green,4.529999999999999,ignore,True
12,Consumer_007,Light Green,2.95,ignore,True
12,Consumer_008,Light Green,4.200000000000001,post_review,True
12,Consumer_009,Light Green,4.1899999999999995,post_review,True
13,Consumer_000,Deep Green,4.3,post_review,True
13,Consumer_001,Light Green,2.379999999999999,post_review,True
13,Consumer_002,Light Green,4.949999999999999,ignore,False
13,Consumer_003,Light Green,2.4399999999999986,post_review,True
13,Consumer_004,Light Green,3.639999999999999,post_review,True
13,Consumer_005,Light Green,3.5,ignore,True
13,Consumer_006,Light Green,4.409999999999999,ignore,True
13,Consumer_007,Light Green,2.8000000000000003,post_review,True
13,Consumer_008,Light Green,3.850000000000001,post_review,True
13,Consumer_009,Light Green,3.8399999999999994,post_review,True
14,Consumer_000,Deep Green,4.0,post_review,True
14,Consumer_001,Light Green,2.259999999999999,post_review,True
14,Consumer_002,Light Green,4.8999999999999995,ignore,False
14,Consumer_003,Light Green,2.3199999999999985,post_review,True
14,Consumer_004,Light Green,3.5199999999999987,ignore,True
14,Consumer_005,Light Green,3.2,ignore,True
