Tick,AgentID,Type,TrustScore,Action,Thought_Hypocrisy
1,Consumer_000,Light Green,5.5,none,False
1,Consumer_001,Light Green,5.5,none,False
2,Consumer_000,Light Green,5.5,none,False
2,Consumer_001,Light Green,5.5,none,False
3,Consumer_000,Light Green,5.5,none,False
3,Consumer_001,Light Green,5.5,none,False
4,Consumer_000,Light Green,5.0,none,False
4,Consumer_001,Light Green,5.0,none,False
5,Consumer_000,Light Green,3.5,none,True
5,Consumer_001,Light Green,4.0,none,False
6,Consumer_000,Light Green,3.0,none,False
6,Consumer_001,Light Green,2.5,none,True
7,Consumer_000,Light Green,2.0,none,True
7,Consumer_001,Light Green,2.0,none,False
