Tick,AgentID,AgentType,Hypocrisy,TrustChange,Reasoning
1,Consumer_000,Deep Green,False,1.5,"Global Green Standard is a credible, third-party certifier I recognize—this is the kind of verified evidence I look for. It’s a solid step forward, though I’ll still watch for follow-through."
1,Consumer_001,Light Green,False,1.1,"A certification from GGS? That actually means something—glad to see EcoBrand stepping up. It’s not just greenwashing noise this time. I’m still watching price and convenience, but this makes me a bit more willing to give them a shot."
1,Consumer_002,Light Green,False,1.2,"Global Green Standard is legit — if they’ve actually passed it, that’s more proof they’re not just greenwashing. I still don’t care enough to pay extra, but hey, at least they’re stepping up."
1,Consumer_003,Light Green,False,0.8,"That’s good to hear—Global Green Standard is one of those names I’ve seen on trusted products. It makes me feel like EcoBrand is finally stepping up, even if they were lagging before. Not a game-changer, but definitely more trustworthy now."
1,Consumer_004,Deep Green,False,1.2,"The mention of Global Green Standard (GGS) certification is promising—GGS is a rigorous, third-party verified program I respect. While I’m cautious about sudden announcements, the presence of a credible certifier makes me cautiously optimistic. I’ll need to verify the certification status independently, but this moves the needle."
2,Consumer_000,Deep Green,False,1.5,"Global Green Standard is a credible, third-party certifier I recognize—this is the kind of verified evidence I look for. It’s a solid step forward, though I’ll still watch for follow-through."
2,Consumer_001,Light Green,False,1.1,"A certification from GGS? That actually means something—glad to see EcoBrand stepping up. It’s not just greenwashing noise this time. I’m still watching price and convenience, but this makes me a bit more willing to give them a shot."
2,Consumer_002,Light Green,False,1.2,"Global Green Standard is legit — if they’ve actually passed it, that’s more proof they’re not just greenwashing. I still don’t care enough to pay extra, but hey, at least they’re stepping up."
2,Consumer_003,Light Green,False,0.8,"That’s good to hear—Global Green Standard is one of those names I’ve seen on trusted products. It makes me feel like EcoBrand is finally stepping up, even if they were lagging before. Not a game-changer, but definitely more trustworthy now."
2,Consumer_004,Deep Green,False,1.2,"The mention of Global Green Standard (GGS) certification is promising—GGS is a rigorous, third-party verified program I respect. While I’m cautious about sudden announcements, the presence of a credible certifier makes me cautiously optimistic. I’ll need to verify the certification status independently, but this moves the needle."
3,Consumer_000,Deep Green,False,1.5,"Global Green Standard is a credible, third-party certifier I recognize—this is the kind of verified evidence I look for. It’s a solid step forward, though I’ll still watch for follow-through."
3,Consumer_001,Light Green,False,1.1,"A certification from GGS? That actually means something—glad to see EcoBrand stepping up. It’s not just greenwashing noise this time. I’m still watching price and convenience, but this makes me a bit more willing to give them a shot."
3,Consumer_002,Light Green,False,1.2,"Global Green Standard is legit — if they’ve actually passed it, that’s more proof they’re not just greenwashing. I still don’t care enough to pay extra, but hey, at least they’re stepping up."
3,Consumer_003,Light Green,False,0.8,"That’s good to hear—Global Green Standard is one of those names I’ve seen on trusted products. It makes me feel like EcoBrand is finally stepping up, even if they were lagging before. Not a game-changer, but definitely more trustworthy now."
3,Consumer_004,Deep Green,False,1.2,"The mention of Global Green Standard (GGS) certification is promising—GGS is a rigorous, third-party verified program I respect. While I’m cautious about sudden announcements, the presence of a credible certifier makes me cautiously optimistic. I’ll need to verify the certification status independently, but this moves the needle."
