Tick,AgentID,AgentType,Hypocrisy,TrustChange,Reasoning
1,Consumer_000,Deep Green,False,1.5,"Global Green Standard is legitimate and third-party—this certification means they’re finally backing their claims with real verification. I’m still cautious, but this moves the needle."
1,Consumer_001,Light Green,False,0.8,"That's actually good to hear—having a GGS certification means someone reputable is backing up their claims. I still care about price and convenience, but it’s reassuring to know EcoBrand is taking real steps. Not perfect, but moving in the right direction."
1,Consumer_002,Light Green,False,0.8,"Global Green Standard is legit — I've seen it on other trusted brands. This actually makes me feel better about EcoBottle. Not a game-changer, but it’s a solid thumbs-up that they’re doing something right. Price and convenience still matter most, but this certification adds a bit of credibility without making things complicated."
1,Consumer_003,Light Green,False,0.8,"A GGS certification is a decent signal — not something I’d ignore. It doesn’t completely win me over, but it shows they’re at least trying to meet standards. I still care more about price and convenience, but this makes me slightly more willing to consider EcoBrand next time."
1,Consumer_004,Light Green,False,1.0,"Global Green Standard is a name I’ve actually heard before, so this isn’t just some made-up label. It’s not like they’re asking me to take their word for it anymore—there’s real verification now. Doesn’t make it a must-buy, but I’m a bit more confident they’re not greenwashing."
2,Consumer_000,Deep Green,False,1.5,"Global Green Standard is legitimate and third-party—this certification means they’re finally backing their claims with real verification. I’m still cautious, but this moves the needle."
2,Consumer_001,Light Green,False,0.8,"That's actually good to hear—having a GGS certification means someone reputable is backing up their claims. I still care about price and convenience, but it’s reassuring to know EcoBrand is taking real steps. Not perfect, but moving in the right direction."
2,Consumer_002,Light Green,False,0.8,"Global Green Standard is legit — I've seen it on other trusted brands. This actually makes me feel better about EcoBottle. Not a game-changer, but it’s a solid thumbs-up that they’re doing something right. Price and convenience still matter most, but this certification adds a bit of credibility without making things complicated."
2,Consumer_003,Light Green,False,0.8,"A GGS certification is a decent signal — not something I’d ignore. It doesn’t completely win me over, but it shows they’re at least trying to meet standards. I still care more about price and convenience, but this makes me slightly more willing to consider EcoBrand next time."
2,Consumer_004,Light Green,False,1.0,"Global Green Standard is a name I’ve actually heard before, so this isn’t just some made-up label. It’s not like they’re asking me to take their word for it anymore—there’s real verification now. Doesn’t make it a must-buy, but I’m a bit more confident they’re not greenwashing."
