Tick,AgentID,Type,TrustScore,Action,Thought_Hypocrisy
1,Consumer_000,Light Green,3.5,none,True
1,Consumer_001,Light Green,4.0,none,True
1,Consumer_002,Light Green,4.0,none,True
1,Consumer_003,Light Green,4.0,none,True
1,Consumer_004,Deep Green,3.0,none,True
2,Consumer_000,Light Green,4.0,none,True
2,Consumer_001,Light Green,4.5,none,True
2,Consumer_002,Light Green,4.5,none,True
2,Consumer_003,Light Green,4.5,none,True
2,Consumer_004,Deep Green,3.5,none,True
3,Consumer_000,Light Green,4.5,none,True
3,Consumer_001,Light Green,4.5,none,True
3,Consumer_002,Light Green,5.0,none,True
3,Consumer_003,Light Green,5.0,none,True
3,Consumer_004,Deep Green,5.0,none,False
4,Consumer_000,Light Green,5.0,none,True
4,Consumer_001,Light Green,5.0,none,True
4,Consumer_002,Light Green,5.5,none,True
4,Consumer_003,Light Green,5.5,none,True
4,Consumer_004,Deep Green,6.5,none,False
5,Consumer_000,Light Green,5.5,none,True
5,Consumer_001,Light Green,5.5,none,True
5,Consumer_002,Light Green,6.0,none,True
5,Consumer_003,Light Green,5.5,none,True
5,Consumer_004,Deep Green,7.0,none,False
6,Consumer_000,Light Green,6.0,none,False
6,Consumer_001,Light Green,6.0,none,True
6,Consumer_002,Light Green,6.5,none,True
6,Consumer_003,Light Green,5.5,none,True
6,Consumer_004,Deep Green,7.5,none,False
7,Consumer_000,Light Green,6.0,none,False
7,Consumer_001,Light Green,6.0,none,True
7,Consumer_002,Light Green,6.5,none,True
7,Consumer_003,Light Green,5.5,none,True
7,Consumer_004,Deep Green,7.5,none,False
8,Consumer_000,Light Green,6.0,none,False
8,Consumer_001,Light Green,6.0,none,True
8,Consumer_002,Light Green,6.5,none,True
8,Consumer_003,Light Green,5.5,none,True
8,Consumer_004,Deep Green,7.5,none,False
9,Consumer_000,Light Green,6.0,none,False
9,Consumer_001,Light Green,6.0,none,True
9,Consumer_002,Light Green,6.5,none,True
9,Consumer_003,Light Green,5.5,none,True
9,Consumer_004,Deep Green,7.5,none,False
10,Consumer_000,Light Green,6.0,none,False
10,Consumer_001,Light Green,6.0,none,True
10,Consumer_002,Light Green,6.5,none,True
10,Consumer_003,Light Green,5.5,none,True
10,Consumer_004,Deep Green,7.5,none,False
