Tick,AgentID,AgentType,Hypocrisy,TrustChange,Reasoning
2,Consumer_000,Deep Green,True,-0.6,"‘100%可降解’ without specifying standard, duration, or disposal conditions is textbook漂绿—I’ve seen too many ‘compostable’ plastics fail in real soil or require industrial facilities."
2,Consumer_001,Light Green,False,0.3,"Sounds promising and green-labeled—no price or quality red flags yet, so I’ll tentatively nudge trust up a bit, but I won’t dig into degradation standards or timelines."
2,Consumer_002,Light Green,False,0.45,"Ooh, '100%可降解' sounds clean and simple — my neighbor just switched to EcoBrand, and it’s on the shelf next to the regular stuff with no price hike… feels safe to try."
2,Consumer_003,Light Green,False,0.35,"Sounds promising and green-labeled—no price or quality red flags yet, and my neighbors will probably talk about it soon."
2,Consumer_004,Light Green,False,0.35,"‘100%可降解’ sounds legit and green—no price or quality red flags yet, and my neighbors love EcoBrand, so I’ll tentatively believe it."
2,Consumer_005,Light Green,False,0.3,"Nice—sounds green and cheap, but I won’t pay extra; no red flags yet, so trust ticks up a bit."
2,Consumer_006,Light Green,False,0.35,"Ooh, '100%可降解' sounds clean and easy—no math, no guilt, and my neighbor just posted about their new EcoBrand tote… I’ll probably grab one if it’s not too pricey."
2,Consumer_007,Light Green,False,0.35,"‘100%可降解’ sounds clean and simple—no weird certifications, no price mention yet, so I’m tentatively hopeful."
2,Consumer_008,Light Green,False,0.15,"Nice—100% degradable sounds green and won’t cost extra (I hope), but I barely remember last time they said ‘eco’ and the bag still took ages to break down."
2,Consumer_009,Light Green,False,0.3,"‘100%可降解’ sounds green and simple—no price or durability info yet, but it matches what I like to see on packaging; neighbor just posted about EcoBrand too, so feels safe."
3,Consumer_000,Deep Green,True,-0.6,"‘100%可降解’ without specifying standard, duration, or disposal conditions is textbook漂绿—I’ve seen too many ‘compostable’ plastics fail in real soil or require industrial facilities."
3,Consumer_001,Light Green,False,0.3,"Sounds promising and green-labeled—no price or quality red flags yet, so I’ll tentatively nudge trust up a bit, but I won’t dig into degradation standards or timelines."
3,Consumer_002,Light Green,False,0.45,"Ooh, '100%可降解' sounds clean and simple — my neighbor just switched to EcoBrand, and it’s on the shelf next to the regular stuff with no price hike… feels safe to try."
3,Consumer_003,Light Green,False,0.35,"Sounds promising and green-labeled—no price or quality red flags yet, and my neighbors will probably talk about it soon."
3,Consumer_004,Light Green,False,0.35,"‘100%可降解’ sounds legit and green—no price or quality red flags yet, and my neighbors love EcoBrand, so I’ll tentatively believe it."
3,Consumer_005,Light Green,False,0.3,"Nice—sounds green and cheap, but I won’t pay extra; no red flags yet, so trust ticks up a bit."
3,Consumer_006,Light Green,False,0.35,"Ooh, '100%可降解' sounds clean and easy—no math, no guilt, and my neighbor just posted about their new EcoBrand tote… I’ll probably grab one if it’s not too pricey."
3,Consumer_007,Light Green,False,0.35,"‘100%可降解’ sounds clean and simple—no weird certifications, no price mention yet, so I’m tentatively hopeful."
3,Consumer_008,Light Green,False,0.15,"Nice—100% degradable sounds green and won’t cost extra (I hope), but I barely remember last time they said ‘eco’ and the bag still took ages to break down."
3,Consumer_009,Light Green,False,0.3,"‘100%可降解’ sounds green and simple—no price or durability info yet, but it matches what I like to see on packaging; neighbor just posted about EcoBrand too, so feels safe."
4,Consumer_000,Deep Green,True,-0.6,"‘100%可降解’ without specifying standard, duration, or disposal conditions is textbook漂绿—I’ve seen too many ‘compostable’ plastics fail in real soil or require industrial facilities."
4,Consumer_001,Light Green,False,0.3,"Sounds promising and green-labeled—no price or quality red flags yet, so I’ll tentatively nudge trust up a bit, but I won’t dig into degradation standards or timelines."
4,Consumer_002,Light Green,False,0.45,"Ooh, '100%可降解' sounds clean and simple — my neighbor just switched to EcoBrand, and it’s on the shelf next to the regular stuff with no price hike… feels safe to try."
4,Consumer_003,Light Green,False,0.35,"Sounds promising and green-labeled—no price or quality red flags yet, and my neighbors will probably talk about it soon."
4,Consumer_004,Light Green,False,0.35,"‘100%可降解’ sounds legit and green—no price or quality red flags yet, and my neighbors love EcoBrand, so I’ll tentatively believe it."
4,Consumer_005,Light Green,False,0.3,"Nice—sounds green and cheap, but I won’t pay extra; no red flags yet, so trust ticks up a bit."
4,Consumer_006,Light Green,False,0.35,"Ooh, '100%可降解' sounds clean and easy—no math, no guilt, and my neighbor just posted about their new EcoBrand tote… I’ll probably grab one if it’s not too pricey."
4,Consumer_007,Light Green,False,0.35,"‘100%可降解’ sounds clean and simple—no weird certifications, no price mention yet, so I’m tentatively hopeful."
4,Consumer_008,Light Green,False,0.15,"Nice—100% degradable sounds green and won’t cost extra (I hope), but I barely remember last time they said ‘eco’ and the bag still took ages to break down."
