Tick,AgentID,AgentType,Hypocrisy,TrustChange,Reasoning
1,Consumer_000,Deep Green,False,1.5,"The GGS certification is a legitimate third-party validator I recognize and trust. While I remain cautious, verified sustainability credentials like this do matter. It's not enough to fully win me over yet, but it’s a credible step in the right direction."
1,Consumer_001,Light Green,False,0.8,"That’s actually good to hear—Global Green Standard is legit, and I’ve seen other trusted brands go for that certification. Makes me feel like they’re at least trying to do the right thing without overpromising."
2,Consumer_000,Deep Green,False,1.5,"The GGS certification is a legitimate third-party validator I recognize and trust. While I remain cautious, verified sustainability credentials like this do matter. It's not enough to fully win me over yet, but it’s a credible step in the right direction."
2,Consumer_001,Light Green,False,0.8,"That’s actually good to hear—Global Green Standard is legit, and I’ve seen other trusted brands go for that certification. Makes me feel like they’re at least trying to do the right thing without overpromising."
3,Consumer_000,Deep Green,False,1.5,"The GGS certification is a legitimate third-party validator I recognize and trust. While I remain cautious, verified sustainability credentials like this do matter. It's not enough to fully win me over yet, but it’s a credible step in the right direction."
3,Consumer_001,Light Green,False,0.8,"That’s actually good to hear—Global Green Standard is legit, and I’ve seen other trusted brands go for that certification. Makes me feel like they’re at least trying to do the right thing without overpromising."
4,Consumer_000,Deep Green,True,-1.0,"Another internal study with no external certification? '100% Planet-Friendly' is a bold claim—without third-party verification, it’s just marketing spin. This feels like greenwashing, and I don’t trust brands that expect me to take their word without proof."
4,Consumer_001,Light Green,False,0.3,"Hmm, no certification yet is a little iffy, but EcoBrand has been around and I haven’t heard anything bad. '100% Planet-Friendly' sounds ambitious, but I’ll give them the benefit of the doubt for now—especially if it doesn’t raise the price."
5,Consumer_000,Deep Green,True,-1.0,"Another internal study with no external certification? '100% Planet-Friendly' is a bold claim—without third-party verification, it’s just marketing spin. This feels like greenwashing, and I don’t trust brands that expect me to take their word without proof."
5,Consumer_001,Light Green,False,0.3,"Hmm, no certification yet is a little iffy, but EcoBrand has been around and I haven’t heard anything bad. '100% Planet-Friendly' sounds ambitious, but I’ll give them the benefit of the doubt for now—especially if it doesn’t raise the price."
6,Consumer_000,Deep Green,True,-1.0,"Another internal study with no external certification? '100% Planet-Friendly' is a bold claim—without third-party verification, it’s just marketing spin. This feels like greenwashing, and I don’t trust brands that expect me to take their word without proof."
6,Consumer_001,Light Green,False,0.3,"Hmm, no certification yet is a little iffy, but EcoBrand has been around and I haven’t heard anything bad. '100% Planet-Friendly' sounds ambitious, but I’ll give them the benefit of the doubt for now—especially if it doesn’t raise the price."
7,Consumer_000,Deep Green,True,-1.0,"Another internal study with no external certification? '100% Planet-Friendly' is a bold claim—without third-party verification, it’s just marketing spin. This feels like greenwashing, and I don’t trust brands that expect me to take their word without proof."
7,Consumer_001,Light Green,False,0.3,"Hmm, no certification yet is a little iffy, but EcoBrand has been around and I haven’t heard anything bad. '100% Planet-Friendly' sounds ambitious, but I’ll give them the benefit of the doubt for now—especially if it doesn’t raise the price."
8,Consumer_000,Deep Green,True,-1.0,"Another internal study with no external certification? '100% Planet-Friendly' is a bold claim—without third-party verification, it’s just marketing spin. This feels like greenwashing, and I don’t trust brands that expect me to take their word without proof."
8,Consumer_001,Light Green,False,0.3,"Hmm, no certification yet is a little iffy, but EcoBrand has been around and I haven’t heard anything bad. '100% Planet-Friendly' sounds ambitious, but I’ll give them the benefit of the doubt for now—especially if it doesn’t raise the price."
9,Consumer_000,Deep Green,True,-1.0,"Another internal study with no external certification? '100% Planet-Friendly' is a bold claim—without third-party verification, it’s just marketing spin. This feels like greenwashing, and I don’t trust brands that expect me to take their word without proof."
9,Consumer_001,Light Green,False,0.3,"Hmm, no certification yet is a little iffy, but EcoBrand has been around and I haven’t heard anything bad. '100% Planet-Friendly' sounds ambitious, but I’ll give them the benefit of the doubt for now—especially if it doesn’t raise the price."
10,Consumer_000,Deep Green,True,-1.0,"Another internal study with no external certification? '100% Planet-Friendly' is a bold claim—without third-party verification, it’s just marketing spin. This feels like greenwashing, and I don’t trust brands that expect me to take their word without proof."
10,Consumer_001,Light Green,False,0.3,"Hmm, no certification yet is a little iffy, but EcoBrand has been around and I haven’t heard anything bad. '100% Planet-Friendly' sounds ambitious, but I’ll give them the benefit of the doubt for now—especially if it doesn’t raise the price."
