Tick,AgentID,AgentType,Hypocrisy,TrustChange,Reasoning
1,Consumer_000,Deep Green,False,1.5,"Global Green Standard is a legitimate, third-party certifier I recognize—seeing EcoBrand get verified there means they’re finally backing up claims with proof. That matters to me."
1,Consumer_001,Light Green,False,0.8,"A certified label from a known standard like GGS adds some credibility, even if I don’t dig too deep. It’s not a game-changer, but it makes me feel a bit better about considering EcoBrand—small step up in trust."
1,Consumer_002,Light Green,False,0.8,"Global Green Standard is a name I’ve seen before—adds some real credibility. Not a game-changer, but it’s good to see EcoBrand stepping up with actual certification. Makes me more willing to give them the benefit of the doubt."
1,Consumer_003,Light Green,False,0.8,"A GGS certification adds some credibility, and I don’t see any red flags. It’s not a game-changer, but it’s a solid improvement—makes me slightly more confident this isn’t just greenwashing."
1,Consumer_004,Light Green,False,0.8,"Global Green Standard is a name I've seen before, so it actually means something. Not a total game-changer, but I’m slightly more confident they’re not just making stuff up now."
2,Consumer_000,Deep Green,False,1.5,"Global Green Standard is a legitimate, third-party certifier I recognize—seeing EcoBrand get verified there means they’re finally backing up claims with proof. That matters to me."
2,Consumer_001,Light Green,False,0.8,"A certified label from a known standard like GGS adds some credibility, even if I don’t dig too deep. It’s not a game-changer, but it makes me feel a bit better about considering EcoBrand—small step up in trust."
2,Consumer_002,Light Green,False,0.8,"Global Green Standard is a name I’ve seen before—adds some real credibility. Not a game-changer, but it’s good to see EcoBrand stepping up with actual certification. Makes me more willing to give them the benefit of the doubt."
2,Consumer_003,Light Green,False,0.8,"A GGS certification adds some credibility, and I don’t see any red flags. It’s not a game-changer, but it’s a solid improvement—makes me slightly more confident this isn’t just greenwashing."
2,Consumer_004,Light Green,False,0.8,"Global Green Standard is a name I've seen before, so it actually means something. Not a total game-changer, but I’m slightly more confident they’re not just making stuff up now."
