2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Jane move to (50, 60)
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Teresa move to (150, 150)
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Holly move to (150, 250)
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Edward move to (150, 150)
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Irene move to (150, 150)
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Gwen move to (47, 137)
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Henry move to (150, 150)
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:chat_with_agent:42 - Agent Jasmine say to Fiona : Hello, Fiona! What's happening around here?
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:chat_with_agent:42 - Agent Iris say to Fiona : Hello, Fiona! What can you tell me about the area around here?
2026-01-09 15:14:02 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Veronica move to (150, 150)
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Aaron move to (150, 150)
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Kyle move to (150, 150)
2026-01-09 15:14:03 | INFO     | PID:48456 | examples.standalone_test.plugins.agent.invoke.EasyInvokePlugin:move_to_pos:38 - Agent Tiffany move to (150, 150)
