replication_schema_version,seed_derivation_version,master_seed,replicate_index,replicate_id,simulation_seed,requested_llm_seed,llm_seed_supported,matrix_version,metrics_schema_version,condition_count,control_exp_id,execution_order,cache_scope,profile_seed,network_seed,target_seed,python_hash_seed,provider_model,provider_system_fingerprint
1.0,sha256-v1,2026081101,1,R001,2032882248,2610077584,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,2032882248,2032882248,2032882248,931618686,qwen-plus,unknown
1.0,sha256-v1,2026081101,2,R002,2880743504,2458142039,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,2880743504,2880743504,2880743504,2373986133,qwen-plus,unknown
1.0,sha256-v1,2026081101,3,R003,3813234924,382862925,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,3813234924,3813234924,3813234924,3973896389,qwen-plus,unknown
1.0,sha256-v1,2026081101,4,R004,714430320,1557325251,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,714430320,714430320,714430320,1340865309,qwen-plus,unknown
1.0,sha256-v1,2026081101,5,R005,1553521534,2203796175,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,1553521534,1553521534,1553521534,4106916730,qwen-plus,unknown
1.0,sha256-v1,2026081101,6,R006,2440750482,4190335009,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,2440750482,2440750482,2440750482,407616120,qwen-plus,unknown
1.0,sha256-v1,2026081101,7,R007,2515240217,2327409371,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,2515240217,2515240217,2515240217,705898438,qwen-plus,unknown
1.0,sha256-v1,2026081101,8,R008,2991906060,419583662,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,2991906060,2991906060,2991906060,2261216082,qwen-plus,unknown
1.0,sha256-v1,2026081101,9,R009,1653104498,3990884055,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,1653104498,1653104498,1653104498,1720496845,qwen-plus,unknown
1.0,sha256-v1,2026081101,10,R010,2480491591,422865397,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,2480491591,2480491591,2480491591,312907098,qwen-plus,unknown
